order_id,machine_id,shift_id,supervisor,units_produced,units_defective,unidades_optimas
1517,7,2,Supervisor_2,75,4,71
1518,36,1,Supervisor_1,500,28,472
1519,11,2,Supervisor_2,424,33,391
1520,3,2,Supervisor_2,434,32,402
1521,33,1,Supervisor_1,346,3,343
1522,27,2,Supervisor_2,426,24,402
1523,6,1,Supervisor_1,290,17,273
1524,35,2,Supervisor_2,314,4,310
1525,23,2,Supervisor_2,125,7,118
1526,20,2,Supervisor_2,261,18,243
1527,21,1,Supervisor_1,179,12,167
1528,21,3,Supervisor_3,322,11,311
1529,27,1,Supervisor_1,104,5,99
1530,5,3,Supervisor_3,399,20,379
1531,37,2,Supervisor_2,482,2,480
1532,30,1,Supervisor_1,289,20,269
1533,23,2,Supervisor_2,433,21,412
1534,30,1,Supervisor_1,339,11,328
1535,47,2,Supervisor_2,247,12,235
1536,39,1,Supervisor_1,375,28,347
1537,46,1,Supervisor_1,132,6,126
1538,17,3,Supervisor_3,331,19,312
1539,34,1,Supervisor_1,159,12,147
1540,49,3,Supervisor_3,218,2,216
1541,49,2,Supervisor_2,105,8,97
1542,24,2,Supervisor_2,350,0,350
1543,21,1,Supervisor_1,160,6,154
1544,34,2,Supervisor_2,356,2,354
1545,6,1,Supervisor_1,247,11,236
1546,2,2,Supervisor_2,454,4,450
1547,29,3,Supervisor_3,119,7,112
1548,26,2,Supervisor_2,241,10,231
1549,6,3,Supervisor_3,313,13,300
1550,50,2,Supervisor_2,59,4,55
1551,27,1,Supervisor_1,123,9,114
1552,34,2,Supervisor_2,334,22,312
1553,12,1,Supervisor_1,277,16,261
1554,33,1,Supervisor_1,170,9,161
1555,7,1,Supervisor_1,115,6,109
1556,17,1,Supervisor_1,391,4,387
1557,14,1,Supervisor_1,123,5,118
1558,14,2,Supervisor_2,382,4,378
1559,30,3,Supervisor_3,207,3,204
1560,28,1,Supervisor_1,266,0,266
1561,23,1,Supervisor_1,135,3,132
1562,46,3,Supervisor_3,464,18,446
1563,47,2,Supervisor_2,254,11,243
1564,50,2,Supervisor_2,367,26,341
1565,45,1,Supervisor_1,424,1,423
1566,7,2,Supervisor_2,403,30,373
1567,16,3,Supervisor_3,62,3,59
1568,19,1,Supervisor_1,199,8,191
1569,33,2,Supervisor_2,296,16,280
1570,7,1,Supervisor_1,410,16,394
1571,12,1,Supervisor_1,319,18,301
1572,1,1,Supervisor_1,77,4,73
1573,46,1,Supervisor_1,443,22,421
1574,41,2,Supervisor_2,457,3,454
1575,43,3,Supervisor_3,411,24,387
1576,32,3,Supervisor_3,175,4,171
1577,42,2,Supervisor_2,101,6,95
1578,47,1,Supervisor_1,115,6,109
1579,19,1,Supervisor_1,50,1,49
1580,25,2,Supervisor_2,171,5,166
1581,1,2,Supervisor_2,247,5,242
1582,4,1,Supervisor_1,101,1,100
1583,12,2,Supervisor_2,92,0,92
1584,12,3,Supervisor_3,463,10,453
1585,35,2,Supervisor_2,165,6,159
1586,26,2,Supervisor_2,333,1,332
1587,34,3,Supervisor_3,381,25,356
1588,5,1,Supervisor_1,179,9,170
1589,31,3,Supervisor_3,434,8,426
1590,24,1,Supervisor_1,209,13,196
1591,2,2,Supervisor_2,238,7,231
1592,29,3,Supervisor_3,86,1,85
1593,29,3,Supervisor_3,67,1,66
1594,30,3,Supervisor_3,276,3,273
1595,33,3,Supervisor_3,156,3,153
1596,31,1,Supervisor_1,246,2,244
1597,13,3,Supervisor_3,471,35,436
1598,44,1,Supervisor_1,372,6,366
1599,23,3,Supervisor_3,441,7,434
1600,10,2,Supervisor_2,198,11,187
1601,11,3,Supervisor_3,179,14,165
1602,25,1,Supervisor_1,128,5,123
1603,17,2,Supervisor_2,430,29,401
1604,47,2,Supervisor_2,210,7,203
1605,36,3,Supervisor_3,469,3,466
1606,46,3,Supervisor_3,203,13,190
1607,10,2,Supervisor_2,270,5,265
1608,21,1,Supervisor_1,497,32,465
1609,30,1,Supervisor_1,59,4,55
1610,27,2,Supervisor_2,352,8,344
1611,3,1,Supervisor_1,289,12,277
1612,40,1,Supervisor_1,298,0,298
1613,14,2,Supervisor_2,166,4,162
1614,8,1,Supervisor_1,487,2,485
1615,28,3,Supervisor_3,349,23,326
1616,25,3,Supervisor_3,194,6,188
1617,23,3,Supervisor_3,463,31,432
1618,41,2,Supervisor_2,312,19,293
1619,27,2,Supervisor_2,443,13,430
1620,33,1,Supervisor_1,161,1,160
1621,2,3,Supervisor_3,489,2,487
1622,13,3,Supervisor_3,311,5,306
1623,12,3,Supervisor_3,397,24,373
1624,22,1,Supervisor_1,52,2,50
1625,9,3,Supervisor_3,61,1,60
1626,28,3,Supervisor_3,391,6,385
1627,42,3,Supervisor_3,341,9,332
1628,22,1,Supervisor_1,126,1,125
1629,42,2,Supervisor_2,262,18,244
1630,46,2,Supervisor_2,349,15,334
1631,21,1,Supervisor_1,191,8,183
1632,31,3,Supervisor_3,267,18,249
1633,49,1,Supervisor_1,412,7,405
1634,12,1,Supervisor_1,193,3,190
1635,7,3,Supervisor_3,211,10,201
1636,23,1,Supervisor_1,499,26,473
1637,12,1,Supervisor_1,217,0,217
1638,30,3,Supervisor_3,286,20,266
1639,13,3,Supervisor_3,372,18,354
1640,19,3,Supervisor_3,325,12,313
1641,40,3,Supervisor_3,314,9,305
1642,34,1,Supervisor_1,490,36,454
1643,19,2,Supervisor_2,115,0,115
1644,41,3,Supervisor_3,392,26,366
1645,11,1,Supervisor_1,196,0,196
1646,47,2,Supervisor_2,103,3,100
1647,23,1,Supervisor_1,196,13,183
1648,41,1,Supervisor_1,78,1,77
1649,34,2,Supervisor_2,302,15,287
1650,22,2,Supervisor_2,242,12,230
1651,14,1,Supervisor_1,186,11,175
1652,31,2,Supervisor_2,122,4,118
1653,46,3,Supervisor_3,57,0,57
1654,50,3,Supervisor_3,388,4,384
1655,1,3,Supervisor_3,180,10,170
1656,4,1,Supervisor_1,461,30,431
1657,40,1,Supervisor_1,154,5,149
1658,20,1,Supervisor_1,202,10,192
1659,48,3,Supervisor_3,355,10,345
1660,13,1,Supervisor_1,87,4,83
1661,33,1,Supervisor_1,333,3,330
1662,34,3,Supervisor_3,81,3,78
1663,42,3,Supervisor_3,364,12,352
1664,47,3,Supervisor_3,412,16,396
1665,36,1,Supervisor_1,132,1,131
1666,4,3,Supervisor_3,158,10,148
1667,12,3,Supervisor_3,215,0,215
1668,44,2,Supervisor_2,434,8,426
1669,22,3,Supervisor_3,142,10,132
1670,26,3,Supervisor_3,163,12,151
1671,15,2,Supervisor_2,282,13,269
1672,6,1,Supervisor_1,272,4,268
1673,35,1,Supervisor_1,455,11,444
1674,40,3,Supervisor_3,241,6,235
1675,18,2,Supervisor_2,150,10,140
1676,13,3,Supervisor_3,383,9,374
1677,18,2,Supervisor_2,59,4,55
1678,13,1,Supervisor_1,273,1,272
1679,40,2,Supervisor_2,159,2,157
1680,28,1,Supervisor_1,290,1,289
1681,38,2,Supervisor_2,51,1,50
1682,31,2,Supervisor_2,213,9,204
1683,47,1,Supervisor_1,77,4,73
1684,43,2,Supervisor_2,259,16,243
1685,27,2,Supervisor_2,313,12,301
1686,5,2,Supervisor_2,346,2,344
1687,37,2,Supervisor_2,246,7,239
1688,14,1,Supervisor_1,433,17,416
1689,18,2,Supervisor_2,146,4,142
1690,29,1,Supervisor_1,392,17,375
1691,43,2,Supervisor_2,307,10,297
1692,47,1,Supervisor_1,161,10,151
1693,46,2,Supervisor_2,400,24,376
1694,13,1,Supervisor_1,310,16,294
1695,22,1,Supervisor_1,168,5,163
1696,11,3,Supervisor_3,428,10,418
1697,20,1,Supervisor_1,324,7,317
1698,29,3,Supervisor_3,333,23,310
1699,39,2,Supervisor_2,303,0,303
1700,3,3,Supervisor_3,412,31,381
1701,28,1,Supervisor_1,468,23,445
1702,43,1,Supervisor_1,270,10,260
1703,30,3,Supervisor_3,140,4,136
1704,25,3,Supervisor_3,243,9,234
1705,4,2,Supervisor_2,57,0,57
1706,42,3,Supervisor_3,254,13,241
1707,32,1,Supervisor_1,76,3,73
1708,29,3,Supervisor_3,215,6,209
1709,39,1,Supervisor_1,147,6,141
1710,42,2,Supervisor_2,134,7,127
1711,27,3,Supervisor_3,322,5,317
1712,33,3,Supervisor_3,322,2,320
1713,22,3,Supervisor_3,90,6,84
1714,10,2,Supervisor_2,500,34,466
1715,4,1,Supervisor_1,134,3,131
1716,18,2,Supervisor_2,103,2,101
1717,45,1,Supervisor_1,274,1,273
1718,7,1,Supervisor_1,162,8,154
1719,16,3,Supervisor_3,302,13,289
1720,40,1,Supervisor_1,429,9,420
1721,27,2,Supervisor_2,202,7,195
1722,4,1,Supervisor_1,150,11,139
1723,26,2,Supervisor_2,315,6,309
1724,26,2,Supervisor_2,291,6,285
1725,36,1,Supervisor_1,216,4,212
1726,20,3,Supervisor_3,238,12,226
1727,8,2,Supervisor_2,207,14,193
1728,14,3,Supervisor_3,322,10,312
1729,47,1,Supervisor_1,281,4,277
1730,34,1,Supervisor_1,117,0,117
1731,46,3,Supervisor_3,185,4,181
1732,5,2,Supervisor_2,321,11,310
1733,2,1,Supervisor_1,78,1,77
1734,36,2,Supervisor_2,359,1,358
1735,4,3,Supervisor_3,270,9,261
1736,29,1,Supervisor_1,221,8,213
1737,16,1,Supervisor_1,401,16,385
1738,6,1,Supervisor_1,460,20,440
1739,21,2,Supervisor_2,106,3,103
1740,19,2,Supervisor_2,301,5,296
1741,38,1,Supervisor_1,50,1,49
1742,17,2,Supervisor_2,424,20,404
1743,37,3,Supervisor_3,292,2,290
1744,46,2,Supervisor_2,127,3,124
1745,18,2,Supervisor_2,193,5,188
1746,31,2,Supervisor_2,350,15,335
1747,19,1,Supervisor_1,393,6,387
1748,26,2,Supervisor_2,497,17,480
1749,50,1,Supervisor_1,427,11,416
1750,31,3,Supervisor_3,463,14,449
1751,29,3,Supervisor_3,426,31,395
1752,37,2,Supervisor_2,266,8,258
1753,45,1,Supervisor_1,459,26,433
1754,5,1,Supervisor_1,123,3,120
1755,2,2,Supervisor_2,366,2,364
1756,22,3,Supervisor_3,413,23,390
1757,11,3,Supervisor_3,157,0,157
1758,2,2,Supervisor_2,471,17,454
1759,39,3,Supervisor_3,283,10,273
1760,20,2,Supervisor_2,480,7,473
1761,45,2,Supervisor_2,198,2,196
1762,15,2,Supervisor_2,204,11,193
1763,14,3,Supervisor_3,286,17,269
1764,44,2,Supervisor_2,178,11,167
1765,28,2,Supervisor_2,106,6,100
1766,47,1,Supervisor_1,279,0,279
1767,28,1,Supervisor_1,476,33,443
1768,47,3,Supervisor_3,186,3,183
1769,6,3,Supervisor_3,50,3,47
1770,18,3,Supervisor_3,128,10,118
1771,47,3,Supervisor_3,316,6,310
1772,42,1,Supervisor_1,351,19,332
1773,21,3,Supervisor_3,385,4,381
1774,28,3,Supervisor_3,293,11,282
1775,32,1,Supervisor_1,484,11,473
1776,7,2,Supervisor_2,500,0,500
1777,47,2,Supervisor_2,265,20,245
1778,49,3,Supervisor_3,189,3,186
1779,44,1,Supervisor_1,158,10,148
1780,42,1,Supervisor_1,323,10,313
1781,39,1,Supervisor_1,366,5,361
1782,10,1,Supervisor_1,191,9,182
1783,22,1,Supervisor_1,335,19,316
1784,50,3,Supervisor_3,326,0,326
1785,3,1,Supervisor_1,329,25,304
1786,11,3,Supervisor_3,341,14,327
1787,46,3,Supervisor_3,466,35,431
1788,39,1,Supervisor_1,339,16,323
1789,9,2,Supervisor_2,97,2,95
1790,2,1,Supervisor_1,319,13,306
1791,21,1,Supervisor_1,414,26,388
1792,24,3,Supervisor_3,203,9,194
1793,50,2,Supervisor_2,64,0,64
1794,21,2,Supervisor_2,220,5,215
1795,41,1,Supervisor_1,51,3,48
1796,29,3,Supervisor_3,306,11,295
1797,40,3,Supervisor_3,112,8,104
1798,16,2,Supervisor_2,431,13,418
1799,18,3,Supervisor_3,295,19,276
1800,19,3,Supervisor_3,379,7,372
1801,16,1,Supervisor_1,440,11,429
1802,21,2,Supervisor_2,258,12,246
1803,21,2,Supervisor_2,206,2,204
1804,5,2,Supervisor_2,153,2,151
1805,2,3,Supervisor_3,317,3,314
1806,7,3,Supervisor_3,268,13,255
1807,9,2,Supervisor_2,360,10,350
1808,8,2,Supervisor_2,208,0,208
1809,27,1,Supervisor_1,341,17,324
1810,21,1,Supervisor_1,243,4,239
1811,4,1,Supervisor_1,338,6,332
1812,13,1,Supervisor_1,426,22,404
1813,18,3,Supervisor_3,79,6,73
1814,29,1,Supervisor_1,138,2,136
1815,17,2,Supervisor_2,154,7,147
1816,30,1,Supervisor_1,91,4,87
1817,22,1,Supervisor_1,252,1,251
1818,49,2,Supervisor_2,205,7,198
1819,29,2,Supervisor_2,309,22,287
1820,30,2,Supervisor_2,370,19,351
1821,46,3,Supervisor_3,478,24,454
1822,27,3,Supervisor_3,336,15,321
1823,41,1,Supervisor_1,213,4,209
1824,16,2,Supervisor_2,142,11,131
1825,25,1,Supervisor_1,442,6,436
1826,22,2,Supervisor_2,300,15,285
1827,26,1,Supervisor_1,367,17,350
1828,21,1,Supervisor_1,122,2,120
1829,50,1,Supervisor_1,271,9,262
1830,39,3,Supervisor_3,175,8,167
1831,33,3,Supervisor_3,499,0,499
1832,3,3,Supervisor_3,472,3,469
1833,17,3,Supervisor_3,493,17,476
1834,7,1,Supervisor_1,367,28,339
1835,4,1,Supervisor_1,176,4,172
1836,22,2,Supervisor_2,129,5,124
1837,14,3,Supervisor_3,247,19,228
1838,46,1,Supervisor_1,86,6,80
1839,37,2,Supervisor_2,466,24,442
1840,44,3,Supervisor_3,134,5,129
1841,44,2,Supervisor_2,182,6,176
1842,24,3,Supervisor_3,447,15,432
1843,37,1,Supervisor_1,216,2,214
1844,11,1,Supervisor_1,441,1,440
1845,47,1,Supervisor_1,66,4,62
1846,6,3,Supervisor_3,332,2,330
1847,13,3,Supervisor_3,325,4,321
1848,47,3,Supervisor_3,96,3,93
1849,28,3,Supervisor_3,426,23,403
1850,41,3,Supervisor_3,321,16,305
1851,32,1,Supervisor_1,445,31,414
1852,28,3,Supervisor_3,323,7,316
1853,5,2,Supervisor_2,68,0,68
1854,18,2,Supervisor_2,229,13,216
1855,12,2,Supervisor_2,499,34,465
1856,2,1,Supervisor_1,124,9,115
1857,2,1,Supervisor_1,218,2,216
1858,22,3,Supervisor_3,401,3,398
1859,36,2,Supervisor_2,107,1,106
1860,47,1,Supervisor_1,422,12,410
1861,15,2,Supervisor_2,144,10,134
1862,39,1,Supervisor_1,455,26,429
1863,28,2,Supervisor_2,382,7,375
1864,37,3,Supervisor_3,100,2,98
1865,4,3,Supervisor_3,129,6,123
1866,36,3,Supervisor_3,155,1,154
1867,19,3,Supervisor_3,255,12,243
1868,1,2,Supervisor_2,456,19,437
1869,8,2,Supervisor_2,476,9,467
1870,30,1,Supervisor_1,460,33,427
1871,33,2,Supervisor_2,275,17,258
1872,41,1,Supervisor_1,235,12,223
1873,26,3,Supervisor_3,89,0,89
1874,20,2,Supervisor_2,457,28,429
1875,3,3,Supervisor_3,100,4,96
1876,13,1,Supervisor_1,226,12,214
1877,37,2,Supervisor_2,88,5,83
1878,25,2,Supervisor_2,273,1,272
1879,25,1,Supervisor_1,86,4,82
1880,21,2,Supervisor_2,458,18,440
1881,2,2,Supervisor_2,284,10,274
1882,6,2,Supervisor_2,415,12,403
1883,19,3,Supervisor_3,200,13,187
1884,10,1,Supervisor_1,263,4,259
1885,30,2,Supervisor_2,138,9,129
1886,39,1,Supervisor_1,300,8,292
1887,38,1,Supervisor_1,196,0,196
1888,48,1,Supervisor_1,161,7,154
1889,46,3,Supervisor_3,129,8,121
1890,1,3,Supervisor_3,347,23,324
1891,22,2,Supervisor_2,264,21,243
1892,26,2,Supervisor_2,309,6,303
1893,14,3,Supervisor_3,73,2,71
1894,8,1,Supervisor_1,445,11,434
1895,34,3,Supervisor_3,126,8,118
1896,24,2,Supervisor_2,158,2,156
1897,28,1,Supervisor_1,181,12,169
1898,28,3,Supervisor_3,362,0,362
1899,4,2,Supervisor_2,358,5,353
1900,7,2,Supervisor_2,359,11,348
1901,47,2,Supervisor_2,372,28,344
1902,42,2,Supervisor_2,71,3,68
1903,4,1,Supervisor_1,230,16,214
1904,11,2,Supervisor_2,196,12,184
1905,13,3,Supervisor_3,446,35,411
1906,49,3,Supervisor_3,425,12,413
1907,16,1,Supervisor_1,288,3,285
1908,21,1,Supervisor_1,167,10,157
1909,25,3,Supervisor_3,272,1,271
1910,22,1,Supervisor_1,201,0,201
1911,12,2,Supervisor_2,495,7,488
1912,22,2,Supervisor_2,143,9,134
1913,26,3,Supervisor_3,370,11,359
1914,15,2,Supervisor_2,399,17,382
1915,15,3,Supervisor_3,201,12,189
1916,28,1,Supervisor_1,203,12,191
1917,43,3,Supervisor_3,391,10,381
1918,16,1,Supervisor_1,75,4,71
1919,45,3,Supervisor_3,139,7,132
1920,19,2,Supervisor_2,183,3,180
1921,36,1,Supervisor_1,395,12,383
1922,48,1,Supervisor_1,225,13,212
1923,24,1,Supervisor_1,122,2,120
1924,19,1,Supervisor_1,191,14,177
1925,42,2,Supervisor_2,70,2,68
1926,17,3,Supervisor_3,102,1,101
1927,27,2,Supervisor_2,486,7,479
1928,32,2,Supervisor_2,144,0,144
1929,22,1,Supervisor_1,190,1,189
1930,25,1,Supervisor_1,351,18,333
1931,33,3,Supervisor_3,316,9,307
1932,3,2,Supervisor_2,206,6,200
1933,37,1,Supervisor_1,138,2,136
1934,32,3,Supervisor_3,421,33,388
1935,39,1,Supervisor_1,339,15,324
1936,28,1,Supervisor_1,141,0,141
1937,27,1,Supervisor_1,211,0,211
1938,30,1,Supervisor_1,146,5,141
1939,13,2,Supervisor_2,95,3,92
1940,5,3,Supervisor_3,467,3,464
1941,47,1,Supervisor_1,176,11,165
1942,15,2,Supervisor_2,53,3,50
1943,5,2,Supervisor_2,192,0,192
1944,22,2,Supervisor_2,368,2,366
1945,22,3,Supervisor_3,376,16,360
1946,39,2,Supervisor_2,153,11,142
1947,20,3,Supervisor_3,157,10,147
1948,5,1,Supervisor_1,397,26,371
1949,31,2,Supervisor_2,331,22,309
1950,34,1,Supervisor_1,196,3,193
1951,43,2,Supervisor_2,409,29,380
1952,34,2,Supervisor_2,255,4,251
1953,40,2,Supervisor_2,101,0,101
1954,40,2,Supervisor_2,318,9,309
1955,4,2,Supervisor_2,375,20,355
1956,26,1,Supervisor_1,443,5,438
1957,44,1,Supervisor_1,51,1,50
1958,10,1,Supervisor_1,284,3,281
1959,35,1,Supervisor_1,396,7,389
1960,5,3,Supervisor_3,312,20,292
1961,15,3,Supervisor_3,415,27,388
1962,30,1,Supervisor_1,319,23,296
1963,7,1,Supervisor_1,286,4,282
1964,23,2,Supervisor_2,493,23,470
1965,48,1,Supervisor_1,111,5,106
1966,6,3,Supervisor_3,406,8,398
1967,28,2,Supervisor_2,57,2,55
1968,20,3,Supervisor_3,74,3,71
1969,23,3,Supervisor_3,264,0,264
1970,43,1,Supervisor_1,377,10,367
1971,3,1,Supervisor_1,450,6,444
1972,4,2,Supervisor_2,325,17,308
1973,40,3,Supervisor_3,125,5,120
1974,43,3,Supervisor_3,396,11,385
1975,6,1,Supervisor_1,281,18,263
1976,26,2,Supervisor_2,195,5,190
1977,36,1,Supervisor_1,181,9,172
1978,6,1,Supervisor_1,345,26,319
1979,9,2,Supervisor_2,435,23,412
1980,2,3,Supervisor_3,55,0,55
1981,20,1,Supervisor_1,493,37,456
1982,37,2,Supervisor_2,250,8,242
1983,5,3,Supervisor_3,283,6,277
1984,21,3,Supervisor_3,262,18,244
1985,35,2,Supervisor_2,202,5,197
1986,15,2,Supervisor_2,165,8,157
1987,34,3,Supervisor_3,277,9,268
1988,2,3,Supervisor_3,303,7,296
1989,46,3,Supervisor_3,144,2,142
1990,17,1,Supervisor_1,171,1,170
1991,40,3,Supervisor_3,465,7,458
1992,23,1,Supervisor_1,384,18,366
1993,44,2,Supervisor_2,440,15,425
1994,10,2,Supervisor_2,439,30,409
1995,34,3,Supervisor_3,356,28,328
1996,34,1,Supervisor_1,277,2,275
1997,33,1,Supervisor_1,183,12,171
1998,41,1,Supervisor_1,282,11,271
1999,36,3,Supervisor_3,246,18,228
2000,27,2,Supervisor_2,252,18,234
2001,25,2,Supervisor_2,220,1,219
2002,7,1,Supervisor_1,436,28,408
2003,33,3,Supervisor_3,357,15,342
2004,14,1,Supervisor_1,338,6,332
2005,1,2,Supervisor_2,286,0,286
2006,9,1,Supervisor_1,474,33,441
2007,8,1,Supervisor_1,244,0,244
2008,1,2,Supervisor_2,216,9,207
2009,27,2,Supervisor_2,298,6,292
2010,23,1,Supervisor_1,213,8,205
2011,37,1,Supervisor_1,415,0,415
2012,33,3,Supervisor_3,405,13,392
2013,17,2,Supervisor_2,108,4,104
2014,40,1,Supervisor_1,130,9,121
2015,24,2,Supervisor_2,168,0,168
2016,26,3,Supervisor_3,248,11,237
2017,38,2,Supervisor_2,374,22,352
2018,38,2,Supervisor_2,80,0,80
2019,38,1,Supervisor_1,146,7,139
2020,31,3,Supervisor_3,392,8,384
2021,50,2,Supervisor_2,439,33,406
2022,40,2,Supervisor_2,492,24,468
2023,36,1,Supervisor_1,356,17,339
2024,47,3,Supervisor_3,50,3,47
2025,30,1,Supervisor_1,163,0,163
2026,17,1,Supervisor_1,158,7,151
2027,14,3,Supervisor_3,214,10,204
2028,12,2,Supervisor_2,439,16,423
2029,14,2,Supervisor_2,138,10,128
2030,1,1,Supervisor_1,484,11,473
2031,11,2,Supervisor_2,50,2,48
2032,37,1,Supervisor_1,325,6,319
2033,44,2,Supervisor_2,241,8,233
2034,3,2,Supervisor_2,385,10,375
2035,4,2,Supervisor_2,85,2,83
2036,40,3,Supervisor_3,337,20,317
2037,7,2,Supervisor_2,148,3,145
2038,1,2,Supervisor_2,218,5,213
2039,25,2,Supervisor_2,283,5,278
2040,34,1,Supervisor_1,368,18,350
2041,5,3,Supervisor_3,455,23,432
2042,3,2,Supervisor_2,250,4,246
2043,34,1,Supervisor_1,159,2,157
2044,33,2,Supervisor_2,281,22,259
2045,48,2,Supervisor_2,353,12,341
2046,35,3,Supervisor_3,313,0,313
2047,32,2,Supervisor_2,441,17,424
2048,47,3,Supervisor_3,206,4,202
2049,31,3,Supervisor_3,413,1,412
2050,47,3,Supervisor_3,250,4,246
2051,4,3,Supervisor_3,244,8,236
2052,24,3,Supervisor_3,402,6,396
2053,47,1,Supervisor_1,407,28,379
2054,34,3,Supervisor_3,244,11,233
2055,42,2,Supervisor_2,248,6,242
2056,35,3,Supervisor_3,72,2,70
2057,8,3,Supervisor_3,462,17,445
2058,5,1,Supervisor_1,228,8,220
2059,20,1,Supervisor_1,154,9,145
2060,43,3,Supervisor_3,325,2,323
2061,42,2,Supervisor_2,110,6,104
2062,4,1,Supervisor_1,231,5,226
2063,34,1,Supervisor_1,342,25,317
2064,42,2,Supervisor_2,360,20,340
2065,17,1,Supervisor_1,92,5,87
2066,33,3,Supervisor_3,238,7,231
2067,48,2,Supervisor_2,114,5,109
2068,25,2,Supervisor_2,386,24,362
2069,41,3,Supervisor_3,95,5,90
2070,38,3,Supervisor_3,406,11,395
2071,40,3,Supervisor_3,495,19,476
2072,48,2,Supervisor_2,131,3,128
2073,49,2,Supervisor_2,421,21,400
2074,40,2,Supervisor_2,330,21,309
2075,47,2,Supervisor_2,225,16,209
2076,25,1,Supervisor_1,189,12,177
2077,4,2,Supervisor_2,84,2,82
2078,29,1,Supervisor_1,238,8,230
2079,42,2,Supervisor_2,191,11,180
2080,38,1,Supervisor_1,193,6,187
2081,26,3,Supervisor_3,396,1,395
2082,2,1,Supervisor_1,263,1,262
2083,13,1,Supervisor_1,75,2,73
2084,41,1,Supervisor_1,256,18,238
2085,30,1,Supervisor_1,173,5,168
2086,17,3,Supervisor_3,428,25,403
2087,39,3,Supervisor_3,200,12,188
2088,32,3,Supervisor_3,279,11,268
2089,42,2,Supervisor_2,101,3,98
2090,26,3,Supervisor_3,320,10,310
2091,46,2,Supervisor_2,354,3,351
2092,28,1,Supervisor_1,455,17,438
2093,25,1,Supervisor_1,218,11,207
2094,17,3,Supervisor_3,252,5,247
2095,18,3,Supervisor_3,379,6,373
2096,8,2,Supervisor_2,476,10,466
2097,6,2,Supervisor_2,76,0,76
2098,32,3,Supervisor_3,219,11,208
2099,25,3,Supervisor_3,96,2,94
2100,24,1,Supervisor_1,257,7,250
2101,41,2,Supervisor_2,57,0,57
2102,35,2,Supervisor_2,287,12,275
2103,36,2,Supervisor_2,238,8,230
2104,32,3,Supervisor_3,70,0,70
2105,30,2,Supervisor_2,375,10,365
2106,41,2,Supervisor_2,440,11,429
2107,20,1,Supervisor_1,359,18,341
2108,32,3,Supervisor_3,435,3,432
2109,48,1,Supervisor_1,202,12,190
2110,6,1,Supervisor_1,253,15,238
2111,3,1,Supervisor_1,386,29,357
2112,46,3,Supervisor_3,158,1,157
2113,5,1,Supervisor_1,437,7,430
2114,21,3,Supervisor_3,248,15,233
2115,24,3,Supervisor_3,453,13,440
2116,8,3,Supervisor_3,247,13,234
2117,16,1,Supervisor_1,196,2,194
2118,42,1,Supervisor_1,275,10,265
2119,50,3,Supervisor_3,257,18,239
2120,28,2,Supervisor_2,139,3,136
2121,13,1,Supervisor_1,284,5,279
2122,42,3,Supervisor_3,244,16,228
2123,15,2,Supervisor_2,359,0,359
2124,28,1,Supervisor_1,116,4,112
2125,10,3,Supervisor_3,107,2,105
2126,39,3,Supervisor_3,68,2,66
2127,29,1,Supervisor_1,265,8,257
2128,42,1,Supervisor_1,195,7,188
2129,44,3,Supervisor_3,370,21,349
2130,47,1,Supervisor_1,440,26,414
2131,29,1,Supervisor_1,380,7,373
2132,15,2,Supervisor_2,403,27,376
2133,6,2,Supervisor_2,204,3,201
2134,26,2,Supervisor_2,325,22,303
2135,7,2,Supervisor_2,295,9,286
2136,44,1,Supervisor_1,212,14,198
2137,14,1,Supervisor_1,212,7,205
2138,11,2,Supervisor_2,246,3,243
2139,1,3,Supervisor_3,219,11,208
2140,26,3,Supervisor_3,296,15,281
2141,15,2,Supervisor_2,174,10,164
2142,10,1,Supervisor_1,213,1,212
2143,30,1,Supervisor_1,78,0,78
2144,40,3,Supervisor_3,180,8,172
2145,29,3,Supervisor_3,54,4,50
2146,30,3,Supervisor_3,244,6,238
2147,3,3,Supervisor_3,216,5,211
2148,18,2,Supervisor_2,228,14,214
2149,4,1,Supervisor_1,202,15,187
2150,24,1,Supervisor_1,444,26,418
2151,18,1,Supervisor_1,298,13,285
2152,35,1,Supervisor_1,427,6,421
2153,36,1,Supervisor_1,163,5,158
2154,15,1,Supervisor_1,449,16,433
2155,14,3,Supervisor_3,436,14,422
2156,50,1,Supervisor_1,220,8,212
2157,27,3,Supervisor_3,112,6,106
2158,20,2,Supervisor_2,360,27,333
2159,35,1,Supervisor_1,445,33,412
2160,17,1,Supervisor_1,354,26,328
2161,18,2,Supervisor_2,169,11,158
2162,40,3,Supervisor_3,498,33,465
2163,35,1,Supervisor_1,88,0,88
2164,27,1,Supervisor_1,479,29,450
2165,9,1,Supervisor_1,461,23,438
2166,2,3,Supervisor_3,285,22,263
2167,28,1,Supervisor_1,246,0,246
2168,27,1,Supervisor_1,332,18,314
2169,19,1,Supervisor_1,410,19,391
2170,9,1,Supervisor_1,275,20,255
2171,22,3,Supervisor_3,408,0,408
2172,1,3,Supervisor_3,384,27,357
2173,18,2,Supervisor_2,408,24,384
2174,42,3,Supervisor_3,77,1,76
2175,45,3,Supervisor_3,55,3,52
2176,5,2,Supervisor_2,435,11,424
2177,46,1,Supervisor_1,155,8,147
2178,32,1,Supervisor_1,144,5,139
2179,10,2,Supervisor_2,196,8,188
2180,30,2,Supervisor_2,115,3,112
